ts_event,symbol,ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09,ofi_best,ofi_multi_sum,ofi_integrated,cross_asset_ofi
2024-10-21 12:20:00+00:00,AAPL,955,-995,2296,2056,1202,606,1015,215,178,126,955,7654,992.9480020673479,0.0
2024-10-21 12:21:00+00:00,AAPL,0,-774,3174,0,30,0,0,0,0,0,0,2430,276.8306096346116,0.0
2024-10-21 12:22:00+00:00,AAPL,-602,-543,103,-397,-1,-100,-500,-105,-63,-1,-602,-2209,-203.3512420354921,0.0
2024-10-21 12:23:00+00:00,AAPL,-285,730,-257,-29,-1173,99,-5,95,-37,-14,-285,-876,-108.79297651556706,0.0
2024-10-21 12:24:00+00:00,AAPL,137,-400,1646,130,-428,-606,-610,-705,-183,-174,137,-1193,-128.2589950060265,0.0
2024-10-21 12:25:00+00:00,AAPL,180,507,-1195,2670,2002,607,1115,715,220,188,180,7009,1006.8553975839916,0.0
2024-10-21 12:26:00+00:00,AAPL,218,891,-1386,1717,199,-1,-200,-604,-5,437,218,1266,241.69803266630248,0.0
2024-10-21 12:27:00+00:00,AAPL,317,-783,2,1005,400,22,93,500,105,63,317,1724,285.70081715213513,0.0
2024-10-21 12:28:00+00:00,AAPL,-527,-1600,-2,1695,-1200,-1,-505,-10,-100,-15,-527,-2265,29.071003667526327,0.0
2024-10-21 12:29:00+00:00,AAPL,-920,966,-842,1610,814,200,800,2,200,1000,-920,3830,586.1820051936946,0.0
2024-10-21 12:30:00+00:00,AAPL,-616,-2866,992,-708,-606,-515,-110,-115,-125,-120,-616,-4789,-421.27853033241905,0.0
2024-10-21 12:31:00+00:00,AAPL,-1102,-1839,1576,195,-410,-101,-115,-610,-115,-173,-1102,-2694,-95.4275898693056,0.0
2024-10-21 12:32:00+00:00,AAPL,-281,-974,1517,1405,411,201,122,610,115,173,-281,3299,546.5449279909279,0.0
2024-10-21 12:33:00+00:00,AAPL,-388,-617,1283,-100,-401,-101,-107,-510,-105,-63,-388,-1109,-73.37295132210352,0.0
2024-10-21 12:34:00+00:00,AAPL,14,-1193,217,100,400,1,100,500,105,63,14,307,87.8283741109371,0.0
2024-10-21 12:35:00+00:00,AAPL,480,444,-306,200,0,-405,490,5,48,-40,480,916,48.72163078161341,0.0
2024-10-21 12:36:00+00:00,AAPL,-700,-536,1987,808,905,415,-390,10,52,50,-700,2601,445.8230925583939,0.0
2024-10-21 12:37:00+00:00,AAPL,-235,-534,1251,1559,-110,-1317,-96,-991,-606,-753,-235,-1832,6.980672998584176,0.0
2024-10-21 12:38:00+00:00,AAPL,-67,-1809,-250,-1576,-2677,-1076,-1636,-225,-615,-126,-67,-10057,-1185.3313731885096,0.0
2024-10-21 12:39:00+00:00,AAPL,8,-1007,800,-200,-505,-210,-100,-15,-200,-410,8,-1839,-167.04947850348663,0.0
2024-10-21 12:40:00+00:00,AAPL,517,1196,0,200,-128,-187,117,500,501,501,517,3217,220.95178211191177,0.0
2024-10-21 12:41:00+00:00,AAPL,-272,-1691,-261,-905,-783,2,0,0,0,0,-272,-3910,-415.60821733457396,0.0
2024-10-21 12:42:00+00:00,AAPL,578,212,2219,623,500,501,501,601,705,668,578,7108,719.7892293906265,0.0
2024-10-21 12:43:00+00:00,AAPL,228,-1131,648,-98,1322,811,100,-85,-4,47,228,1838,249.89402180278364,0.0
2024-10-21 12:44:00+00:00,AAPL,65,-770,-2458,736,-505,0,0,0,0,0,65,-2932,-205.0672502445472,0.0
2024-10-21 12:45:00+00:00,AAPL,225,18,1317,701,506,501,1000,605,168,123,225,5164,606.8974629620584,0.0
2024-10-21 12:46:00+00:00,AAPL,-401,-17,-119,497,-501,-501,-601,-705,-659,-228,-401,-3235,-248.5409634282883,0.0
2024-10-21 12:47:00+00:00,AAPL,87,-1707,417,-300,-5,391,1001,1585,496,158,87,2123,248.35540757731619,0.0
2024-10-21 12:48:00+00:00,AAPL,109,206,1783,184,1005,114,9,-485,-481,-49,109,2395,281.67175041471506,0.0
2024-10-21 12:49:00+00:00,AAPL,327,1418,3424,-782,-393,1007,706,768,1728,1352,327,9555,751.1264306594855,0.0
2024-10-21 12:50:00+00:00,AAPL,400,-2100,10,-1,-100,-500,-105,61,64,-124,400,-2395,-215.03801091702803,0.0
2024-10-21 12:51:00+00:00,AAPL,-281,-333,3217,-299,1399,406,-390,619,57,112,-281,4507,487.84337221900563,0.0
2024-10-21 12:52:00+00:00,AAPL,-301,-500,173,501,-199,100,500,125,63,60,-301,522,151.5658960162311,0.0
2024-10-21 12:53:00+00:00,AAPL,-1699,-1127,-29,-502,-501,-501,-601,-705,-668,-228,-1699,-6561,-541.0913440694798,0.0
2024-10-21 12:54:00+00:00,AAPL,-315,211,158,520,1707,402,1101,1105,635,392,-315,5916,693.4986105582558,0.0
2024-10-21 12:55:00+00:00,AAPL,-2348,-425,262,-120,-1607,-2,-1100,-1005,-135,-287,-2348,-6767,-516.2067980410786,0.0
2024-10-21 12:56:00+00:00,AAPL,75,396,180,0,0,0,0,0,0,0,75,651,44.88870945582056,0.0
2024-10-21 12:57:00+00:00,AAPL,25,14,20,800,1207,1,1000,505,30,224,25,3826,491.40442799003955,0.0
2024-10-21 12:58:00+00:00,AAPL,-111,-27,807,-605,-1081,-293,-1500,-205,437,835,-111,-1743,-314.4129934620205,0.0
2024-10-21 12:59:00+00:00,AAPL,-2,-82,-105,-400,-20,-1307,-401,-506,-130,-724,-2,-3677,-437.7938861794679,0.0
2024-10-21 13:00:00+00:00,AAPL,-1093,130,1530,-507,-1407,-1,-505,85,-124,0,-1093,-1892,-183.46369201170336,0.0
2024-10-21 13:01:00+00:00,AAPL,-1623,-1183,-1661,-799,-919,-687,171,-14,500,590,-1623,-5625,-546.7922584817735,0.0
2024-10-21 13:02:00+00:00,AAPL,-6073,-5549,-3697,-1332,-1655,-2513,-1296,-447,-879,-934,-6073,-24375,-1980.427016985432,0.0
2024-10-21 13:03:00+00:00,AAPL,212,-1571,1427,1042,643,710,1011,751,878,828,212,5931,747.0774987542402,0.0
2024-10-21 13:04:00+00:00,AAPL,-600,-1133,-527,-515,-416,-210,-610,-650,-278,-223,-600,-5162,-490.96244332998265,0.0
